Skola;AlternativaNamn;numOfStudents;From;To;Url;Adress;Lat;Lon;Kommunal;studentsPerTeacher;
Bankekind;;49;0;3;http://www.linkoping.se/bankekindsskola;Lerbogavägen, Linköping;58.375834;15.874084;1;13,8;
Berzeliusskolan;;533;7;9;http://www.linkoping.se/Skola-barnomsorg/Gymnasieskola/Kommunala-gymnasieskolor/Berzeliusskolan/Grundskolan/;Gustav Adolfsgatan 25, Linköping;58.415829;15.611269;1;11;
Björkö;Björkö friskola;204;0;9;http://bjorkofriskola.se/;Björkö Friskola, 590 75 Ljungsbro;58.509946;15.527485;0;12,3;
Björnkärr;Björnkärrsskolan;197;0;6;http://www.linkoping.se/bjornkarrsskolan;Ellen Keys gata 6, Linköping;58.4150255;15.5638155;1;13,2;
Blästadsskolan F-3;Blästad,Blästadsskolan;152;0;3;http://www.linkoping.se/blastadsskolan;Ekholmsvägen 117, Linköping;58.375799;15.677928;1;16,6;
Blästadsskolan 4-6;Blästad,Blästadsskolan;149;4;6;http://www.linkoping.se/blastadsskolan;Ekholmsvägen 117, Linköping;58.375799;15.677928;1;14,9;
Brokind;Brokinds skola;74;0;6;http://www.linkoping.se/brokindsskola;Vinkelvägen 71, Brokind;58.206174;15.663676;1;11,9;
Brunnbyskolan;Brunnby;201;0;6;http://www.linkoping.se/brunnbyskolan;Myrsättersgatan 26, Ljungsbro;58.496248;15.506965;1;15,6;
Bäckskolan;Bäck;190;0;6;http://www.linkoping.se/backskolan;Konstruktörsgatan 104, Linköping;58.387299;15.636024;1;10,5;
Dar al Uloum;;66;1;9;http://www.linkoping.se/Skola-barnomsorg/Grundskolor/hojv-grundskolor/Dar-al-Uloum/;Skattegården 7A, Linköping;58.428332;15.581299;0;14,3;
Ekdunge;Ekdungeskolan;136;0;3;http://www.linkoping.se/ekdungeskolan;Stormvägen 81, Linköping;58.432253;15.692286;1;19,2;
Ekholmsskolan;;420;7;9;http://www.linkoping.se/ekholmsskolan;Ekholmsvägen 48, Linköping;58.379733;15.674467;1;10,8;
Ekängsskolan;Ekängen;256;0;6;http://www.linkoping.se/ekangsskolan;Hästhagsvägen 14, Linköping;58.469621;15.642851;1;16,4;
Engelska skolan;Engelska Skolan,Internationella Engelska Skolan Linköping;600;4;9;http://linkoping.engelska.se/sv;Östgötagatan 12, Linköping;58.41185;15.608918;0;18,6;
Folkungaskolan;Folkunga Grundskolan;461;1;9;http://www.linkoping.se/Skola-barnomsorg/Gymnasieskola/Kommunala-gymnasieskolor/Folkungaskolan/Folkunga-Grundskolan/;Folkungaskolan, 582 35 Linköping;58.41178;15.60327;1;16,1;
Fredriksbergsskolan;Fredriksberg;148;0;6;http://www.linkoping.se/fredriksbergsskolan;Fredriksbergsvägen 37, Linköping;58.382897;15.673945;1;10,4;
Hagbyskolan;Hagby;282;0;6;http://www.linkoping.se/hagbyskolan;Hagbyskolan, 587 23 Linköping;58.393674;15.654521;1;17;
Himna;Himnaskolan;290;0;6;http://www.linkoping.se/himnaskolan;Himnavägen 145, Linghem;58.428248;15.781934;1;16,8;
Hjulsbroskolan;Hjulsbro;247;0;6;http://www.linkoping.se/hjulsbroskolan;Bokhagsvägen 5, Linköping;58.376578;15.714331;1;14,3;
Internationella skolan Atlas;IS Atlas;333;0;9;http://www.linkoping.se/isatlas;Brigadgatan 18, Linköping;58.39604;15.612422;2;11,8;
Kungsbergsskolan F-6;Kungsberget,Kungsbergsskolan;124;0;9;http://www.linkoping.se/kungsbergsskolan;Drottningtorget 1, Linköping;58.410918;15.637558;1;11,7;
Kungsbergsskolan 7-9;Kungsberget,Kungsbergsskolan;376;0;9;http://www.linkoping.se/kungsbergsskolan;Drottningtorget 1, Linköping;58.410918;15.637558;1;12,8;
Kvinnebyskolan;Kvinneby;234;0;6;http://www.linkoping.se/kvinnebyskolan;Backsippevägen 14C, Linköping;58.381399;15.694434;1;19;
Kärna skola;Kärna,Malmslättsskolan Kärna;317;0;6;http://www.linkoping.se/malmslattsskolan-karna;Kärna skola, 586 62 Linköping;58.4181316;15.5158735;1;14,1;
Lillgårdskolan;Lillgård;147;0;6;http://www.lillgardsskolan.se/;Sporrsmedsgatan 18, Linköping;58.38474;15.651368;0;11,5;
Linghemsskolan;Linghemsskola;330;7;9;http://www.linkoping.se/linghemsskolan;Gällstadsvägen 20, Linghem;58.433528;15.78552;1;12,4;
Ljungs skola;;71;4;6;http://www.linkoping.se/ljungsskola;Ljung skola, 590 75 Ljungsbro;58.506489;15.505828;1;17,8;
Ljungsbro skola F-6;Ljungsbro,Ljungsbro skola;154;0;6;http://www.linkoping.se/ljungsbroskola;Ljungsbro skola, 590 71 Ljungsbro;58.508626;15.501092;1;11,5;
Ljungsbro skola 7-9;Ljungsbro,Ljungsbro skola;371;7;9;http://www.linkoping.se/ljungsbroskola;Ljungsbro skola, 590 71 Ljungsbro;58.508626;15.501092;1;11,4;
Nya Munken;;526;7;9;http://www.nyamunken.se/;Skogslyckegatan 1G, Linköping;58.397203;15.662163;0;12,4;
Nya Rydsskolan;Nya Ryd,Rydsskolan;328;0;9;http://www.linkoping.se/rydsskolan;Björnkärrsgatan 17, Linköping;58.409996;15.56518;1;9,6;
Nygård;Nygårdsskolan;232;0;5;http://www.linkoping.se/nygardsskolan;Nygårdsskolan, 586 42 Linköping;58.097778;15.220952;2;10,3;
Nykils skola;Nykil;110;0;6;http://www.linkoping.se/nykilsskola;Solvågsvägen 9, Nykil;58.286398;15.449638;1;12,5;
Rappestad;Rappestad skola;36;0;3;http://www.linkoping.se/rappestadskola;Birkagatan 2, Vikingstad;58.40114;15.416111;1;11,3;
Rosendalsskolan;Rosendal;339;0;5;http://www.linkoping.se/rosendalsskolan;Rosendalsskolan, 586 49 Linköping;58.097778;15.220952;2;11,8;
Skeda skola;Skeda;93;0;6;http://www.linkoping.se/skedaslakaskola;Gamla Kalmarvägen, Linköping;58.36603;15.558829;2;12,9;
Skäggetorpsskolan;;361;7;9;http://www.linkoping.se/skaggetorpsskolan;Skäggetorpsskolan, 586 42 Linköping;58.097778;15.220952;2;8;
Slaka skola;Slaka;121;0;6;http://www.linkoping.se/skedaslakaskola;Gamla Kalmarvägen 5, Linköping;58.370014;15.557373;2;16,5;
Slestadskolan;Slestad;269;0;6;http://www.linkoping.se/slestadsskolan;Rättaregatan 120, Linköping;58.385677;15.570341;1;13,4;
Sätra skola;Sätra;48;0;6;http://www.linkoping.se/satraskola;Sätra skola, 590 55 Sturefors;58.330475;15.7259;1;11;
T1-skolorna;T1;263;0;6;http://www.linkoping.se/t1skolorna;Fanjunkaregatan 3, Linköping;58.401852;15.603068;1;-;
Tallboda skola;;105;4;6;http://www.linkoping.se/Skola-barnomsorg/Grundskolor/Kommunala-grundskolor/Tallbodaskolan/Om-skolan/;Värdshusvägen 10, Linköping;58.428703;15.67977;1;9,9;
Tanneforsskolan;Tannefors;133;0;6;http://www.linkoping.se/tanneforsskolan;Nya Tanneforsvägen 78, Linköping;58.403326;15.645947;1;12,5;
Tokarpsskolan;Malmslättsskolan Tokarp;229;7;9;http://www.linkoping.se/malmslattsskolan-tokarp;Fårhagsvägen 142, Linköping;58.424544;15.507866;1;14,5;
Tornhagsskolan F-3;Tornhagen,Tornhagsskolan;167;0;3;http://www.linkoping.se/tornhagsskolan;Stenbrötsgatan 5, Linköping;58.412947;15.592823;1;16,3;
Tornhagsskolan 4-9;Tornhagen,Tornhagsskolan;393;4;9;http://www.linkoping.se/tornhagsskolan;Stenbrötsgatan 5, Linköping;58.412947;15.592823;1;12,5;
